Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28968000000000005,0.006450662054058674,0.7043333333333333,0.2921666666666667,0.0035000000000000005,0.0,0.21853341851326352,0.047580000000000025,107.55,0.004144873403430434,0.0028271272951397087
1,0.30458666666666667,0.011281151282958934,0.6706666666666667,0.3086666666666667,0.020666666666666667,0.0,0.23488600505428464,0.014906666666666657,147.45,0.022204245345682903,0.004944182542098407
2,0.32222666666666666,0.014348354430170785,0.6165,0.358,0.025333333333333336,0.0001666666666666667,0.2400523938383939,0.017640000000000006,158.45,0.030764702410065847,0.006288443590739938
3,0.3297933333333333,0.02204881240917457,0.5988333333333333,0.36783333333333335,0.03283333333333334,0.0005,0.24263391393170308,0.007566666666666669,169.35,0.04990380564046783,0.009663318100530829
4,0.3362466666666667,0.02314028511755285,0.5813333333333334,0.38116666666666665,0.036833333333333336,0.0006666666666666668,0.24396742808531902,0.006453333333333339,171.65,0.059648976623656834,0.010141677106148677
5,0.34625000000000006,0.024455692122550592,0.553,0.404,0.042499999999999996,0.0005,0.24405963866307195,0.010003333333333336,179.2,0.06820940934443527,0.01071817964447453
6,0.35350000000000004,0.02492557811655419,0.5348333333333334,0.41600000000000004,0.04833333333333333,0.0008333333333333333,0.24497346432371803,0.007249999999999998,181.8,0.08301461373159538,0.010924116261230883
7,0.35819,0.027142476798988454,0.523,0.42350000000000004,0.053000000000000005,0.0005,0.244669715926572,0.004690000000000008,183.45,0.09361489647038924,0.01189571494724882
8,0.36582000000000003,0.026665316632493066,0.4993333333333333,0.4456666666666667,0.054000000000000006,0.001,0.24167840972013394,0.007629999999999989,189.9,0.10125464683276464,0.011686590283834812
9,0.37403333333333333,0.03564827202327786,0.4885,0.43916666666666665,0.07083333333333333,0.0015,0.24555816392868804,0.00821333333333334,193.2,0.11582302999324898,0.015623544066792838
10,0.4248966666666667,0.042405668135975405,0.35833333333333334,0.5276666666666666,0.11183333333333334,0.0021666666666666666,0.2237476432263629,0.05086333333333334,207.95,0.12289410436718613,0.018585103490334206
11,0.47619000000000006,0.04740604879114378,0.2813333333333333,0.51,0.19883333333333333,0.009833333333333333,0.22280766124228063,0.05129333333333337,215.9,0.20682822858469918,0.020776616937767167
12,0.5287966666666668,0.051357349018865975,0.19183333333333336,0.5191666666666667,0.26433333333333336,0.024666666666666667,0.20060773422541583,0.05260666666666665,224.5,0.2458891648809307,0.022508350615871822
13,0.5794,0.053644456557022234,0.13699999999999998,0.4643333333333334,0.35833333333333334,0.04033333333333333,0.18597061574067714,0.050603333333333354,229.45,0.27541282428072694,0.023510719689597063
